x y
-9.16310911532491 31.3604462013514
-8.67812192998827 25.1517547778549
-8.18297422956675 24.8370642930561
-7.66362086404115 19.463767813696
-6.78692965768278 16.3926614153275
-5.75466759968549 21.6993152805177
-3.3079017419368 13.0945258071079
0.273382435552776 -7.133198150839
1.58377561252564 1.05590740920008
2.23985112737864 -4.34715721053884
2.35202338080853 -12.503539820779
3.13862237613648 -6.59393949950249
3.14678023569286 -5.28293574060359
4.79634399525821 -15.5350615743227
7.55624134559184 -23.5113387738004
