0.000000000000000000e+00 3.300000000000000000e+01 3.600000000000000089e+00
3.000000000000000000e+00 6.800000000000000000e+01 3.899999999999999911e+00
9.000000000000000000e+00 3.400000000000000000e+01 2.600000000000000089e+00
1.400000000000000000e+01 3.400000000000000000e+01 3.399999999999999911e+00
1.500000000000000000e+01 3.700000000000000000e+01 3.799999999999999822e+00
1.900000000000000000e+01 7.100000000000000000e+01 3.799999999999999822e+00
2.000000000000000000e+01 3.700000000000000000e+01 2.200000000000000178e+00
2.100000000000000000e+01 4.400000000000000000e+01 2.100000000000000089e+00
3.000000000000000000e+01 4.800000000000000000e+01 2.299999999999999822e+00
3.500000000000000000e+01 4.900000000000000000e+01 3.799999999999999822e+00
4.000000000000000000e+01 5.300000000000000000e+01 2.200000000000000178e+00
4.100000000000000000e+01 4.900000000000000000e+01 2.799999999999999822e+00
4.200000000000000000e+01 5.000000000000000000e+01 3.899999999999999911e+00
4.300000000000000000e+01 4.800000000000000000e+01 3.100000000000000089e+00
5.400000000000000000e+01 5.600000000000000000e+01 3.399999999999999911e+00
5.600000000000000000e+01 6.000000000000000000e+01 2.600000000000000089e+00
6.700000000000000000e+01 6.100000000000000000e+01 3.399999999999999911e+00
6.900000000000000000e+01 6.300000000000000000e+01 3.700000000000000178e+00
7.200000000000000000e+01 4.400000000000000000e+01 2.000000000000000000e+00
8.800000000000000000e+01 7.100000000000000000e+01 3.500000000000000000e+00
